Gender,Age,Height,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,Weight
Female,22.5,1.68,Yes,Yes,2.0,3.0,Sometimes,No,2.0,No,1.0,0.5,No,Public_Transportation,72.0
Male,35.2,1.75,Yes,Yes,3.0,2.5,Frequently,No,1.5,No,0.0,0.2,Sometimes,Automobile,95.0
Female,19.8,1.62,No,No,2.5,3.0,No,No,2.5,No,2.0,1.5,No,Bike,58.0
Male,28.0,1.8,Yes,Yes,1.5,3.5,Always,No,1.0,No,0.5,0.8,Frequently,Public_Transportation,110.0
Female,42.0,1.65,Yes,No,3.0,2.0,Sometimes,No,3.0,Yes,1.5,0.0,Sometimes,Automobile,80.0
Male,18.0,1.73,No,Yes,2.0,4.0,Frequently,No,2.0,No,3.0,1.0,No,Walking,65.0
Female,25.6,1.7,Yes,Yes,3.0,3.0,Sometimes,No,1.8,No,0.0,0.4,Sometimes,Public_Transportation,105.0
Male,30.0,1.85,Yes,Yes,2.0,1.0,Always,No,2.0,No,2.0,0.0,Sometimes,Public_Transportation,90.0
Female,20.0,1.58,No,No,2.0,2.0,No,No,1.0,No,1.0,2.0,No,Automobile,50.0
Male,27.4,1.76,Yes,Yes,3.0,3.0,Sometimes,No,2.5,No,0.8,0.6,Frequently,Public_Transportation,120.0
Female,33.0,1.63,Yes,Yes,2.5,1.5,Sometimes,No,2.0,No,1.0,0.0,Sometimes,Automobile,75.0
Male,21.0,1.82,Yes,Yes,1.0,3.0,Frequently,No,3.0,No,1.5,1.2,Sometimes,Public_Transportation,82.0
Female,26.0,1.6,Yes,Yes,3.0,3.0,Sometimes,No,1.2,No,0.0,1.0,No,Public_Transportation,100.0
Male,38.5,1.72,No,Yes,2.0,3.0,Sometimes,No,2.0,No,2.5,0.3,Sometimes,Automobile,88.0
Female,17.5,1.55,No,Yes,2.0,3.0,Frequently,No,2.0,No,2.0,1.5,No,Public_Transportation,48.0
Male,24.0,1.78,Yes,No,3.0,2.0,Sometimes,No,2.0,No,1.0,0.0,No,Bike,78.0
Male,45.0,1.68,Yes,Yes,3.0,3.0,Always,No,1.0,No,0.0,0.0,Sometimes,Automobile,86.0
Female,22.0,1.66,Yes,Yes,2.0,1.0,Sometimes,No,2.0,No,0.0,0.5,Sometimes,Public_Transportation,68.0
Male,31.0,1.9,Yes,No,2.0,3.0,Sometimes,No,3.0,No,3.0,2.0,No,Public_Transportation,100.0
Female,29.0,1.64,Yes,Yes,3.0,3.0,Sometimes,No,1.5,No,1.0,0.8,Frequently,Automobile,85.0
Male,34.21,1.79,Yes,Yes,2.0,3.0,Sometimes,No,2.5,No,1.5,0.8,No,Public_Transportation,85.0
Female,22.5,1.68,No,No,3.0,1.0,Frequently,No,1.0,No,0.0,0.0,Sometimes,Public_Transportation,68.0
Female,19.8,1.62,No,Yes,2.5,3.0,Sometimes,No,2.0,No,0.8,1.2,No,Public_Transportation,55.0
Male,28.0,1.85,Yes,Yes,1.5,3.0,Sometimes,No,2.8,No,2.0,0.5,Sometimes,Automobile,98.0
Male,41.5,1.72,Yes,Yes,2.0,2.0,Always,No,1.5,No,0.3,0.0,Frequently,Automobile,82.0
Female,20.0,1.55,No,No,3.0,1.0,Frequently,No,1.8,No,0.0,1.0,Sometimes,Public_Transportation,47.0
Male,31.0,1.76,Yes,No,2.0,3.0,Sometimes,No,3.0,Yes,2.5,0.0,No,Bike,79.0
Female,17.3,1.68,Yes,Yes,2.8,3.5,Frequently,No,2.2,No,1.8,0.9,No,Public_Transportation,52.0
Female,25.0,1.66,No,Yes,2.0,3.0,Sometimes,No,1.2,No,0.5,0.5,Sometimes,Public_Transportation,72.0
Male,37.8,1.74,Yes,Yes,1.8,3.0,Sometimes,No,2.1,No,1.2,0.2,Sometimes,Automobile,110.0
Male,22.0,1.7,No,No,3.0,2.5,No,No,2.5,No,1.0,1.5,No,Public_Transportation,63.0
Female,44.0,1.6,Yes,Yes,2.0,3.0,Always,No,1.0,No,0.0,0.0,Frequently,Automobile,85.0
Male,18.5,1.82,Yes,Yes,2.2,3.0,Sometimes,No,3.0,No,1.6,1.8,Sometimes,Public_Transportation,65.0
